,subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,num_voxels,proportion_voxels,threshold,averaged_localizer_runs,averaged_response_runs
25,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext,NA,0.9023798159785325,0.2086644484847784,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
26,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext,NA,0.5957550790834993,0.23792552047446303,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
27,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext,NA,0.4467629690469576,0.26632598794384876,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
28,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.3840384933238404,0.21661330235401918,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
29,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.9023798159785325,0.216477373511427,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
30,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.5957550790834993,0.2721459037378775,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
31,sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.4467629690469576,0.30375204738915246,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
32,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR,NA,-0.10336649304963828,0.18398316349927143,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
33,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR,NA,0.3198768541556969,0.11912423841681123,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
34,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR,NA,0.13281427100771315,0.2240315020420858,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
35,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR,NA,-0.46831454875024403,0.23998910556341582,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
36,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP,NA,-0.10336649304963828,0.19312456645471446,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
37,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP,NA,0.3198768541556969,0.1316767610264166,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
38,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP,NA,0.13281427100771315,0.25772817316042346,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
39,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP,NA,-0.46831454875024403,0.2735333042061285,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
40,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext,NA,-0.10336649304963828,0.20547931902974734,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
41,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext,NA,0.3198768541556969,0.2086644484847784,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
42,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext,NA,0.13281427100771315,0.23792552047446303,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
43,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext,NA,-0.46831454875024403,0.26632598794384876,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
44,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,-0.10336649304963828,0.21661330235401918,0.07304672729642424,146.0,0.48666666666666664,3.1143563709887356,"12,23,13","3,1,2"
45,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,L,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.3198768541556969,0.216477373511427,0.14896995639221536,17.333333333333332,0.1386666666666667,3.537476326875757,"12,23,13","3,1,2"
46,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,pSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,0.13281427100771315,0.2721459037378775,0.06588068789817825,154.0,0.5133333333333333,3.1143563709887356,"12,23,13","3,1,2"
47,sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,R,aSTS,SimCLR_SLIP_SLIPtext_GPT2_word2vec,NA,-0.46831454875024403,0.30375204738915246,0.08042553863408669,107.66666666666667,0.8613333333333334,3.537476326875757,"12,23,13","3,1,2"
48,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR,NA,2.4689771162342264,0.2949034294017501,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
49,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR,NA,3.8502153637441325,0.31926459367188254,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
50,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP,NA,2.4689771162342264,0.33021378785179656,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
51,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,R,MT,SimCLR_SLIP,NA,3.8502153637441325,0.34000711893618646,0.10052911195173271,117.33333333333333,0.6821705426356589,10.203935288256188,"12,23,13","3,1,2"
52,sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,L,MT,SimCLR_SLIP_SLIPtext,NA,2.4689771162342264,0.29639879207695013,0.10249498653190736,54.666666666666664,0.3178294573643411,10.203935288256188,"12,23,13","3,1,2"
